top_type,top_color,top_usage,top_season,bottom_type,bottom_color,bottom_usage,bottom_season,shoe_type,shoe_color,shoe_usage,shoe_season,compatibility_score,compatibility_label
Tshirts,Grey,Sports,Summer,Shorts,Blue,Casual,Summer,Casual Shoes,White,Casual,Fall,47,Poor Match
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Blue,Sports,Summer,40,Poor Match
Tshirts,Green,Sports,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,39,Poor Match
Tshirts,Black,Sports,Fall,Track Pants,Navy Blue,Sports,Summer,Casual Shoes,Blue,Casual,Fall,47,Poor Match
Tshirts,Green,Sports,Fall,Track Pants,Black,Sports,Fall,Casual Shoes,Blue,Casual,Fall,47,Poor Match
Tshirts,Blue,Sports,Fall,Shorts,White,Casual,Fall,Casual Shoes,White,Casual,Summer,47,Poor Match
Shirts,White,Casual,Summer,Trousers,Charcoal,Formal,Fall,Sports Shoes,Black,Sports,Spring,27,Poor Match
Tshirts,Pink,Casual,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,White,Casual,Fall,49,Poor Match
Shirts,Orange,Formal,Summer,Shorts,Black,Sports,Summer,Casual Shoes,Black,Casual,Fall,34,Poor Match
Tshirts,White,Casual,Fall,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Beige,Casual,Winter,40,Poor Match
Tshirts,White,Casual,Summer,Track Pants,Grey,Casual,Summer,Casual Shoes,White,Casual,Summer,88,Highly Compatible
Tshirts,Grey,Casual,Summer,Trousers,Grey,Formal,Fall,Casual Shoes,Red,Sports,Summer,36,Poor Match
Jackets,Red,Sports,Fall,Track Pants,Black,Casual,Summer,Formal Shoes,Black,Formal,Summer,35,Poor Match
Shirts,White,Formal,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,Black,Casual,Summer,68,Moderately Compatible
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,81,Highly Compatible
Tshirts,Black,Casual,Summer,Shorts,Black,Sports,Summer,Formal Shoes,Black,Formal,Winter,46,Poor Match
Tshirts,Burgundy,Casual,Summer,Trousers,Beige,Casual,Fall,Sports Shoes,White,Casual,Summer,71,Moderately Compatible
Tshirts,Purple,Casual,Fall,Track Pants,Brown,Casual,Fall,Casual Shoes,Grey,Casual,Winter,73,Moderately Compatible
Shirts,Brown,Casual,Fall,Trousers,Black,Formal,Fall,Sports Shoes,White,Sports,Summer,42,Poor Match
Shirts,Olive,Casual,Summer,Track Pants,Black,Sports,Fall,Casual Shoes,Navy Blue,Casual,Fall,49,Poor Match
Tshirts,White,Casual,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,White,Casual,Summer,85,Highly Compatible
Shirts,Purple,Formal,Fall,Shorts,White,Casual,Fall,Sports Shoes,Grey,Sports,Fall,44,Poor Match
Shirts,Olive,Casual,Summer,Trousers,Grey,Casual,Summer,Casual Shoes,Charcoal,Casual,Fall,60,Moderately Compatible
Tshirts,Brown,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,White,Casual,Summer,78,Moderately Compatible
Tshirts,Maroon,Sports,Summer,Trousers,Black,Formal,Fall,Casual Shoes,Black,Casual,Winter,25,Poor Match
Shirts,White,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,Brown,Casual,Summer,76,Moderately Compatible
Tshirts,Purple,Casual,Summer,Track Pants,Black,Casual,Summer,Formal Shoes,Black,Formal,Fall,48,Poor Match
Tshirts,Green,Sports,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Silver,Sports,Summer,41,Poor Match
Shirts,Red,Casual,Summer,Track Pants,Brown,Casual,Fall,Sports Shoes,White,Sports,Summer,49,Poor Match
Tshirts,Blue,Casual,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Green,Casual,Summer,39,Poor Match
Shirts,White,Casual,Summer,Jeans,Blue,Casual,Fall,Formal Shoes,Black,Formal,Winter,40,Poor Match
Tshirts,Orange,Casual,Fall,Shorts,Blue,Casual,Summer,Sports Shoes,Blue,Sports,Fall,37,Poor Match
Shirts,Grey,Casual,Fall,Shorts,Black,Casual,Fall,Casual Shoes,Brown,Casual,Winter,95,Highly Compatible
Tshirts,Navy Blue,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,White,Casual,Fall,69,Moderately Compatible
Shirts,Navy Blue,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall,73,Moderately Compatible
Tshirts,Purple,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Grey,Sports,Summer,38,Poor Match
Shirts,Pink,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Summer,69,Moderately Compatible
Shirts,White,Casual,Fall,Trousers,Black,Casual,Fall,Casual Shoes,Mushroom Brown,Casual,Winter,86,Highly Compatible
Tshirts,Navy Blue,Sports,Summer,Shorts,Beige,Casual,Fall,Casual Shoes,Black,Casual,Summer,63,Moderately Compatible
Tshirts,Orange,Casual,Fall,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall,39,Poor Match
Shirts,White,Formal,Summer,Jeans,Black,Casual,Fall,Casual Shoes,White,Casual,Fall,75,Moderately Compatible
Tshirts,Grey,Sports,Summer,Track Pants,Black,Casual,Summer,Sports Shoes,Silver,Sports,Summer,86,Highly Compatible
Tshirts,Blue,Sports,Fall,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall,28,Poor Match
Shirts,Red,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,Black,Casual,Summer,52,Poor Match
Tshirts,White,Casual,Summer,Trousers,Khaki,Formal,Fall,Formal Shoes,Black,Formal,Summer,48,Poor Match
Tshirts,Navy Blue,Casual,Summer,Shorts,Navy Blue,Casual,Summer,Sports Shoes,White,Sports,Summer,70,Moderately Compatible
Tshirts,Grey,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Navy Blue,Casual,Summer,83,Highly Compatible
Tshirts,Blue,Casual,Fall,Shorts,White,Casual,Summer,Casual Shoes,Brown,Casual,Summer,68,Moderately Compatible
Tshirts,Black,Sports,Fall,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Brown,Casual,Winter,40,Poor Match
Tshirts,Pink,Casual,Summer,Shorts,Black,Casual,Summer,Sports Shoes,Grey,Sports,Summer,61,Moderately Compatible
Tshirts,Black,Casual,Summer,Shorts,Black,Sports,Fall,Formal Shoes,Black,Formal,Winter,32,Poor Match
Tshirts,Black,Casual,Summer,Trousers,Grey,Casual,Summer,Casual Shoes,Black,Casual,Fall,77,Moderately Compatible
Tshirts,Grey,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Red,Sports,Summer,47,Poor Match
Tshirts,Blue,Casual,Fall,Trousers,Beige,Casual,Fall,Casual Shoes,Black,Casual,Summer,84,Highly Compatible
Tshirts,Black,Casual,Summer,Shorts,Grey,Casual,Summer,Casual Shoes,Navy Blue,Casual,Summer,92,Highly Compatible
Tshirts,Grey,Casual,Summer,Track Pants,Navy Blue,Sports,Summer,Casual Shoes,Red,Casual,Winter,50,Poor Match
Tshirts,Black,Sports,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Grey,Casual,Winter,52,Poor Match
Tshirts,Yellow,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Casual,Summer,67,Moderately Compatible
Tshirts,Red,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall,69,Moderately Compatible
Tshirts,Blue,Sports,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Brown,Casual,Winter,43,Poor Match
Tshirts,Navy Blue,Casual,Fall,Jeans,Black,Casual,Fall,Sports Shoes,White,Sports,Summer,59,Poor Match
Tshirts,Green,Casual,Summer,Shorts,Grey,Sports,Summer,Sports Shoes,White,Sports,Summer,61,Moderately Compatible
Tshirts,White,Casual,Summer,Track Pants,Black,Sports,Fall,Formal Shoes,Black,Formal,Winter,53,Poor Match
Sweatshirts,Purple,Casual,Fall,Jeans,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer,78,Moderately Compatible
Tshirts,Black,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer,77,Moderately Compatible
Shirts,White,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,48,Poor Match
Shirts,Grey,Casual,Fall,Track Pants,Black,Casual,Summer,Formal Shoes,Black,Formal,Fall,78,Moderately Compatible
Tshirts,Blue,Casual,Fall,Shorts,Black,Sports,Fall,Formal Shoes,Black,Formal,Summer,38,Poor Match
Tshirts,Purple,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall,69,Moderately Compatible
Shirts,Yellow,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Summer,61,Moderately Compatible
Tshirts,Navy Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Summer,80,Highly Compatible
Tshirts,Black,Casual,Summer,Trousers,Brown,Casual,Summer,Casual Shoes,Grey,Casual,Winter,80,Highly Compatible
Tshirts,Green,Casual,Fall,Shorts,Grey,Casual,Summer,Sports Shoes,Blue,Sports,Summer,37,Poor Match
Shirts,Red,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Black,Casual,Fall,71,Moderately Compatible
Shirts,Purple,Casual,Summer,Shorts,Blue,Casual,Summer,Casual Shoes,Red,Casual,Winter,61,Moderately Compatible
Tshirts,Navy Blue,Casual,Fall,Track Pants,Black,Casual,Fall,Sports Shoes,Blue,Sports,Fall,73,Moderately Compatible
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Blue,Sports,Summer,40,Poor Match
Tshirts,Blue,Casual,Fall,Trousers,Black,Formal,Fall,Casual Shoes,Black,Casual,Summer,49,Poor Match
Shirts,White,Casual,Fall,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall,53,Poor Match
Tshirts,Navy Blue,Casual,Fall,Trousers,Beige,Casual,Fall,Casual Shoes,Brown,Casual,Winter,78,Moderately Compatible
Shirts,Black,Casual,Summer,Jeans,Blue,Casual,Fall,Sports Shoes,Black,Sports,Spring,40,Poor Match
Shirts,Purple,Formal,Fall,Trousers,Beige,Casual,Fall,Formal Shoes,Black,Formal,Winter,60,Moderately Compatible
Tshirts,Pink,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Summer,73,Moderately Compatible
Tshirts,Grey,Casual,Fall,Track Pants,Black,Sports,Fall,Casual Shoes,Blue,Casual,Summer,68,Moderately Compatible
Shirts,White,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Fall,50,Poor Match
Sweatshirts,Purple,Casual,Fall,Shorts,Grey,Sports,Summer,Sports Shoes,White,Sports,Summer,47,Poor Match
Tshirts,Grey,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer,98,Highly Compatible
Shirts,Red,Casual,Fall,Shorts,Black,Sports,Fall,Sports Shoes,Silver,Sports,Summer,37,Poor Match
Shirts,Brown,Casual,Summer,Trousers,Grey,Casual,Fall,Casual Shoes,White,Casual,Summer,83,Highly Compatible
Sweatshirts,Black,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,Blue,Casual,Fall,57,Poor Match
Jackets,Blue,Sports,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Summer,38,Poor Match
Kurtas,Maroon,Ethnic,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Summer,42,Poor Match
Tshirts,Blue,Casual,Fall,Trousers,Beige,Casual,Fall,Casual Shoes,Navy Blue,Casual,Summer,85,Highly Compatible
Tshirts,Purple,Casual,Fall,Shorts,Grey,Casual,Summer,Casual Shoes,Blue,Casual,Summer,59,Poor Match
Tshirts,Purple,Casual,Summer,Shorts,Black,Sports,Winter,Sports Shoes,Black,Sports,Summer,48,Poor Match
Shirts,Navy Blue,Casual,Summer,Shorts,Black,Sports,Fall,Casual Shoes,Black,Casual,Fall,60,Moderately Compatible
Shirts,Black,Casual,Summer,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Summer,58,Poor Match
Tshirts,Navy Blue,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Black,Casual,Fall,78,Moderately Compatible
Tshirts,Black,Casual,Summer,Track Pants,Brown,Casual,Fall,Sports Shoes,Black,Sports,Spring,59,Poor Match
Tshirts,Yellow,Casual,Summer,Shorts,Grey,Sports,Fall,Casual Shoes,Blue,Casual,Fall,41,Poor Match
Tshirts,White,Casual,Fall,Shorts,White,Casual,Summer,Sports Shoes,Black,Sports,Spring,53,Poor Match
Shirts,Red,Formal,Fall,Trousers,Black,Formal,Summer,Casual Shoes,White,Casual,Summer,48,Poor Match
Tshirts,Blue,Casual,Summer,Trousers,Brown,Casual,Summer,Casual Shoes,White,Casual,Summer,83,Highly Compatible
Tshirts,Navy Blue,Casual,Summer,Track Pants,Black,Casual,Fall,Sports Shoes,White,Sports,Fall,73,Moderately Compatible
Tshirts,Navy Blue,Casual,Summer,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall,49,Poor Match
Shirts,Grey,Casual,Fall,Trousers,Black,Formal,Summer,Casual Shoes,White,Casual,Fall,74,Moderately Compatible
Sweatshirts,Purple,Casual,Fall,Jeans,Navy Blue,Casual,Summer,Casual Shoes,Black,Casual,Summer,81,Highly Compatible
Tshirts,Black,Sports,Fall,Shorts,Navy Blue,Sports,Fall,Casual Shoes,White,Casual,Summer,58,Poor Match
Shirts,Green,Casual,Summer,Shorts,Grey,Sports,Fall,Sports Shoes,Black,Sports,Fall,52,Poor Match
Shirts,Navy Blue,Casual,Summer,Trousers,Green,Casual,Fall,Sports Shoes,Blue,Sports,Summer,42,Poor Match
Shirts,Red,Casual,Summer,Jeans,Navy Blue,Casual,Summer,Casual Shoes,Grey,Casual,Fall,69,Moderately Compatible
Tshirts,Grey,Casual,Summer,Shorts,Grey,Casual,Summer,Sports Shoes,White,Sports,Fall,62,Moderately Compatible
Tshirts,Black,Sports,Fall,Shorts,Red,Casual,Fall,Casual Shoes,Black,Casual,Fall,63,Moderately Compatible
Shirts,White,Casual,Fall,Track Pants,Grey,Sports,Summer,Formal Shoes,Black,Formal,Fall,43,Poor Match
Tshirts,Blue,Casual,Fall,Shorts,Navy Blue,Casual,Summer,Casual Shoes,Blue,Casual,Fall,63,Moderately Compatible
